id;id_producto;peso;descripción;
1;1;100;Caja parte a de la cama King Size Bella;
2;1;150;Caja parte b de la cama King Size Bella;
3;2;80;Caja parte a del escritorio de Roble Vintage;
4;2;120;Caja parte b del escritorio de Roble Vintage;
5;3;15;Caja parte a de la lámpara de mesa Blanca;
6;3;10;Caja parte b de la lámpara de mesa Blanca;
7;4;800;Caja parte a del sofá esquinero con Chaise Longue;
8;4;400;Caja parte b del sofá esquinero con Chaise Longue;
9;5;75;Caja del espejo decorativo de pared;
10;6;300;Caja parte a del sillón reclinable de cuero;
11;6;200;Caja parte b del sillón reclinable de cuero;
12;6;150;Caja parte c del sillón reclinable de cuero;
13;7;100;Caja parte a de la mesa de centro con diseño geométrico;
14;7;50;Caja parte b de la mesa de centro con diseño geométrico;
15;7;50;Caja parte c de la mesa de centro con diseño geométrico;
16;8;80;Caja parte a de la lámpara colgante de cristal;
17;8;40;Caja parte b de la lámpara colgante de cristal;
18;9;200;Caja parte a de la cama nido con cajones inferiores;
19;9;150;Caja parte b de la cama nido con cajones inferiores;
20;9;80;Caja parte c de la cama nido con cajones inferiores;
21;9;70;Caja parte d de la cama nido con cajones inferiores;
22;10;40;Caja parte a de la silla de comedor en tela gris;
23;10;40;Caja parte b de la silla de comedor en tela gris;
24;11;100;Caja parte a de la lámpara de pie vintage;
25;11;50;Caja parte b de la lámpara de pie vintage;
26;11;50;Caja parte c de la lámpara de pie vintage;
27;12;60;Caja parte a de la mesita de noche de madera con cajón;
