id_producto;tamaño;color;descripcion;
1;10x10;blanco;Cama King Size Bella de estilo moderno y elegante, con cabecera acolchada y patas cónicas en madera de roble.;
5;10x10;negro;Espejo Decorativo de Pared con marco de metal negro y diseño geométrico.;
9;10x10;café;Cama Nido con Cajones Inferiores de madera de pino, en color café oscuro, ideal para habitaciones pequeñas.;
12;10x10;blanco;Mesita de Noche de Madera con Cajón en color blanco, perfecta para guardar tus objetos personales.;
15;10x10;gris;Cama Queen Size con Cabecero de Cuero en color gris, con detalles en costura y patas de metal cromado.;
19;10x10;dorado;Espejo de Pie con Marco Dorado, ideal para decorar cualquier espacio con un toque elegante.;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
