id;nombre;precio;cajas;categoria
1;Cama King Size Bella;800;5;dormitorio
2;Escritorio de Roble Vintage;450;10;living
3;Lámpara de Mesa Blanca;35;2;iluminacion
4;Sofá Esquinero con Chaise Longue;1200;2;living
5;Espejo Decorativo de Pared;75;1;dormitorio
6;Sillón Reclinable de Cuero;650;3;living
7;Mesa de Centro con Diseño Geométrico;200;3;living
8;Lámpara Colgante de Cristal;120;2;iluminacion
9;Cama Nido con Cajones Inferiores;500;4;dormitorio
10;Silla de Comedor en Tela Gris;80;2;living
11;Lámpara de Pie Vintage;150;3;iluminacion
12;Mesita de Noche de Madera con Cajón;55;2;dormitorio
13;Mueble de TV en Madera de Pino;350;3;living
14;Lámpara de Techo Industrial;80;1;iluminacion
15;Cama Queen Size con Cabecero de Cuero;950;2;dormitorio
16;Sillón Reclinable con Masajeador;800;4;living
17;Lámpara de Pared con Brazo Ajustable;65;2;iluminacion
18;Mesa de Comedor Extensible en Madera;600;5;living
19;Espejo de Pie con Marco Dorado;120;1;dormitorio
20;Lámpara de Pie con Pantalla de Cristal;250;2;iluminacion
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
